Part,Location,Model,Date,Value
PD457,B,XGBoost,2025-08-01,651.0014038085938
PD457,B,XGBoost,2025-09-01,661.29248046875
PD457,B,XGBoost,2025-10-01,662.1263427734375
PD457,B,XGBoost,2025-11-01,630.164794921875
PD457,B,XGBoost,2025-12-01,602.455322265625
PD457,B,N-HiTS,2025-01-01,459.5993646436796
PD457,B,N-HiTS,2025-02-01,395.1492487323836
PD457,B,N-HiTS,2025-03-01,347.23184586848583
PD457,B,N-HiTS,2025-04-01,338.68846358199227
PD457,B,N-HiTS,2025-05-01,440.59438439003554
PD457,B,N-HiTS,2025-06-01,677.9041223812249
PD457,B,N-HiTS,2025-07-01,781.7779333671722
PD457,B,N-HiTS,2025-08-01,799.8172900521972
PD457,B,N-HiTS,2025-09-01,870.8330932531144
PD457,B,N-HiTS,2025-10-01,814.6227002266107
PD457,B,N-HiTS,2025-11-01,642.0321724303225
PD457,B,N-HiTS,2025-12-01,634.6262468405953
PD457,B,ETS,2025-01-01,585.1398962443885
PD457,B,ETS,2025-02-01,525.6990974696851
PD457,B,ETS,2025-03-01,536.6776165798295
PD457,B,ETS,2025-04-01,533.6549829157345
PD457,B,ETS,2025-05-01,559.3822087663291
PD457,B,ETS,2025-06-01,812.6569635533684
PD457,B,ETS,2025-07-01,818.1561762731449
PD457,B,ETS,2025-08-01,796.4239995521252
PD457,B,ETS,2025-09-01,834.1916872582929
PD457,B,ETS,2025-10-01,802.9705154238536
PD457,B,ETS,2025-11-01,669.4699602411233
PD457,B,ETS,2025-12-01,613.8811828383474
PD457,B,Weighted Ensemble,2025-01-01,585.1631733961601
PD457,B,Weighted Ensemble,2025-02-01,529.6467179295306
PD457,B,Weighted Ensemble,2025-03-01,530.5718763342552
PD457,B,Weighted Ensemble,2025-04-01,505.00184219598043
PD457,B,Weighted Ensemble,2025-05-01,519.7548563692015
PD457,B,Weighted Ensemble,2025-06-01,794.0833874352882
PD457,B,Weighted Ensemble,2025-07-01,814.478652516472
PD457,B,Weighted Ensemble,2025-08-01,789.7096272106695
PD457,B,Weighted Ensemble,2025-09-01,816.3497597809234
PD457,B,Weighted Ensemble,2025-10-01,777.9778682857128
PD457,B,Weighted Ensemble,2025-11-01,681.1681861299211
PD457,B,Weighted Ensemble,2025-12-01,624.2654215501639
PD2976,A,SARIMA,2025-01-01,578.4643896500952
PD2976,A,SARIMA,2025-02-01,564.5223410147025
PD2976,A,SARIMA,2025-03-01,497.8166975331031
PD2976,A,SARIMA,2025-04-01,625.5799808987032
PD2976,A,SARIMA,2025-05-01,575.6371114716645
PD2976,A,SARIMA,2025-06-01,896.4322916569034
PD2976,A,SARIMA,2025-07-01,879.062685415408
PD2976,A,SARIMA,2025-08-01,841.1038820232465
PD2976,A,SARIMA,2025-09-01,831.524012823696
PD2976,A,SARIMA,2025-10-01,918.6464394180953
PD2976,A,SARIMA,2025-11-01,732.681029648778
PD2976,A,SARIMA,2025-12-01,627.8139474234713
PD2976,A,Prophet,2025-01-01,572.0585024924382
PD2976,A,Prophet,2025-02-01,591.1974227035964
